High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
220021 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
220023 Total,22,0,0,0,1,21,1,1,3,0,16,0,2,0
220025 Total,53,1,0,2,2,45,2,8,3,0,43,0,1,3
220026 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220027 Total,44,0,0,12,23,6,2,0,8,0,11,0,9,6
220030 Total,8,0,2,0,0,6,1,3,0,0,4,0,0,0
220032 Total,16,0,0,0,0,16,0,3,3,0,10,0,0,0
220033 Total,34,0,0,1,4,29,0,6,4,0,28,0,0,0
220040 Total,2,0,0,0,0,2,0,0,1,0,1,0,0,0
220050 Total,6,0,0,1,0,5,0,3,0,0,3,0,0,0
220065 Total,14,0,0,0,1,13,0,3,0,1,9,0,1,0
220070 Total,3,0,0,0,0,3,0,0,0,0,2,0,0,0
220073 Total,30,0,0,0,3,26,3,1,2,0,26,0,1,1
220077 Total,13,0,0,0,0,12,0,0,0,0,13,0,0,1
220085 Total,16,0,0,0,1,15,0,0,1,0,16,0,0,0
220090 Total,4,0,0,0,0,4,0,1,1,0,2,0,0,0
220095 Total,13,0,0,1,1,11,0,1,1,0,13,0,0,0
220100 Total,10,0,0,0,0,10,0,0,0,0,10,0,0,0
220104 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
220105 Total,19,0,1,0,0,17,0,0,1,0,19,0,0,0
220112 Total,9,0,0,0,0,9,0,1,1,0,8,0,0,0
220115 Total,85,0,1,1,0,79,4,1,5,1,77,0,0,2
220116 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220117 Total,15,0,0,0,2,12,0,1,1,0,10,0,1,1
220120 Total,5,0,0,0,0,4,0,0,1,0,3,0,1,1
220123 Total,29,1,1,0,2,23,1,8,3,0,16,0,2,2
220129 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220135 Total,37,0,0,1,2,34,0,4,4,0,31,0,1,0
220146 Total,1,0,0,0,0,1,1,0,1,0,1,0,0,0
220155 Total,27,0,1,0,3,23,2,3,2,0,22,0,0,0
220156 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220160 Total,19,0,0,0,1,17,0,1,0,0,18,0,0,1
220162 Total,23,0,0,1,1,22,0,2,1,0,22,0,1,0
220163 Total,13,0,0,0,0,12,0,3,0,0,9,0,1,1
220174 Total,13,0,0,3,2,8,0,0,5,0,5,0,1,0
220180 Total,21,0,0,0,1,18,0,3,1,0,17,0,1,1
220182 Total,17,0,0,2,10,6,1,0,12,0,2,0,0,0
220185 Total,45,0,1,0,3,42,0,20,4,0,25,0,0,0
220195 Total,37,1,1,2,9,25,1,12,17,1,5,0,0,0
220202 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
220205 Total,9,0,0,1,3,5,0,3,5,0,1,0,1,0
220206 Total,1,0,0,0,1,0,0,0,1,0,0,0,0,0
220221 Total,2,0,0,0,0,2,0,0,2,0,0,0,0,0
220226 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
220232 Total,16,0,0,2,3,8,1,2,7,0,3,0,2,3
220235 Total,26,0,1,3,17,6,2,4,3,1,8,0,2,0
220241 Total,8,0,0,0,1,7,0,1,2,0,5,0,0,0
220245 Total,11,0,0,2,7,3,2,2,3,0,0,0,1,0
220260 Total,33,1,0,1,4,26,1,11,10,0,14,0,1,1
220261 Total,2,0,0,0,1,1,0,1,0,0,0,0,0,0
220262 Total,7,0,0,0,0,6,1,0,0,0,6,0,0,1
220265 Total,10,1,0,1,4,5,0,1,3,0,1,0,2,0
220290 Total,9,0,0,0,2,7,0,0,8,0,0,0,0,0
220292 Total,7,0,0,0,3,4,0,0,3,0,1,0,0,0
220294 Total,9,0,0,1,0,8,1,7,2,0,1,0,0,0
220296 Total,6,0,0,1,1,4,0,0,5,1,0,0,0,0
220303 Total,6,0,0,0,0,6,0,2,2,0,2,0,0,0
220305 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
220330 Total,8,0,0,1,0,7,1,4,2,0,2,0,0,0
220336 Total,4,0,0,1,2,2,0,1,1,0,1,0,0,0
220345 Total,3,0,0,0,1,2,0,2,0,0,1,0,0,0
220385 Total,13,0,0,3,1,9,0,2,8,0,1,0,0,0
220399 Total,19,0,0,1,6,12,0,0,18,0,0,0,0,0
220405 Total,5,0,0,0,1,4,0,1,1,0,2,0,0,0
220409 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220410 Total,11,0,0,0,0,11,0,0,1,0,10,0,0,0
220411 Total,7,0,0,0,0,7,0,0,1,0,7,0,0,0
220412 Total,8,0,0,1,0,7,0,1,1,0,6,0,0,0
220415 Total,11,0,0,0,0,10,0,0,1,0,8,0,2,1
220420 Total,25,0,0,1,3,22,0,7,2,1,17,0,0,0
220425 Total,11,0,0,0,1,10,0,2,1,0,7,0,1,0
220430 Total,50,0,0,1,5,44,1,3,1,0,45,0,1,0
220435 Total,59,1,0,8,5,44,1,7,30,0,18,0,3,1
